formula,target
F6Hg3S2Si1,4.467262
Bi6Fe2Mo4O24,3.376819
Ge4Na8Te10,0.972803
Br2Lu2S2,3.885184
C6Lu4N12,5.400335
Cd1O6Pt3,1.049499
C6S16,2.489682
Li2Mn2Sb2,1.477757
Cl8Cs4Pd2,3.350394
Cl2Ni1,4.028421
Ca2O8W2,5.375432
Ag8O24P8,3.788802
Rh8S12,1.100445
Ba6S14Zr4,1.261613
Ca2O10Si2Ti2,4.266316
Cs8Sb8,1.045362
Cu1S2Sc1,1.966757
Bi2Cu6I2O16Se4,2.248689
Ag2K6Se16Sn6,1.96219
Bi6Cl2O8,3.333438
Na12O8Zn2,3.222763
Cl4Cu4O12Pb2Te4,3.016639
La2Mn2O6,0.718741
Co1I10Y6,0.7370540000000001
K3O8Ta1,5.25235
Br2Hg2,3.136229
Br3Li6N1,3.387161
Ga9Rb3,0.486483
S2Zr1,1.81672
Cd16Ge16O48,2.736814
Bi8Mn4Se16,1.1207820000000002
H8N12O2S8,3.149388
As4F28Hg4,4.239086
F12Li4Pd2,4.036319499999999
I8Pb4,2.456853
Ba2Bi1Lu1O6,2.915971
Ba4Si2Te8,1.777488
O14Sn4Sr6,3.607856
Bi12O20Si1,3.440852
Ag6C2N6O12S2,3.528516
Al2Ni2S14Y6,2.811042
Br4Cr8O16P4,3.284625
C16Cu2N12,2.550212
Fe2K4P4S12,2.99136
Ni8O88P32,5.622287
Na12O8Tl4,2.697259
Cu4Nb12O32,1.709176
Mn4O16Sb8,2.645922
Ba2H2I2,3.639317
F2Li2O8P2V2,3.053499
Br8Se8,2.269744
S8Zn4,2.502034
F24K8Mn6,2.451962
Cd6Cl4O4,2.53366
O8Se2Te2,4.044252999999999
Bi8I8,1.17188
Ag4O8S2,3.031638
As4Fe2,1.620818
I20K8N4O4Ru4,2.252748
Cl12N4Se8,1.041642
Hg4Nb4O14,1.985513
Au1O1Rb3,0.980242
Li6N2,2.308309
Ba8O12Pt2,3.316706
In8S16Tl8,1.959128
Cu6S12Sn3Sr3,1.5774705
C4Hg1N4S4Zn1,3.649077
Ag6O2,0.107254
Cs12Nb4Se16,2.951524
C4Fe2H12N4O8,2.762702
Ge4Na12S14,3.544854
F4Ge1,7.471647
Cr2Hg2O12Pb4,2.471035
Co10Ge3O16,2.580109
C12Fe2N12Pt3,2.835365
La4S12Sc4,2.80212
Al4Hg2S8,2.334487
Mn4P16,1.778717
Bi4Pb6S12,0.572522
As4Ca4Cu4H4O20,3.956969
Ba1Mn2Sb2,0.8851079999999998
C4H12O12Pd2S4,3.718329
Cl6Pt1S2,3.192664
Ba2O12Pd2Se4,3.398071
Al4Br12,5.270942
Ba6Hg6O12,3.698758
Nb4O18Zn8,4.073163
Cd4S8,2.218719
Au2N10O28,3.289021
C3Ce1O13P1Sr3,4.638679
As2Cd2Sr1,0.787998
F18Y6,10.36124
Ba4Cu4F28Fe4,3.937048
C2S4,4.261162
Ba3Cu6Ge3S12,2.235065
O26Te12Zn2,4.172314
I8La8O16Si4,4.601088
Cd2O10Se4,4.311693
Cs8Cu2K4O16Si4,3.460103
Ba2Cu2Fe2O10Y2,2.433533
C4Cl4H12O4S4,1.322642
O12Pb2V4,3.073272
Ba4S12Zr4,1.843655
In2Li2Mo4O16,3.876347
Br4La4Mo4O16,2.561396
Cs2I12Ta2,1.7158639999999998
Fe4Na16O16,2.103291
Cl3Cs1Hg1,0.53268
Al4F20Mn4,6.1204415
In4Li4S8,3.193232
Ag2P2S6,2.277826
Ag6P14Sn2,1.085343
Ba4Na1O12Sb3,3.066388
Au24Na8Si8,0.1651550000000003
Au2Cl6Cs2,1.368585
Ca1P2Zn2,1.490326
I24Pt8,0.81868
As12Cu16Na4O48,3.649103
Cu2H2O10S2Tl2,3.642427
K1O12Sb3Zn4,3.351088
Te1Zn1,2.192322
Nb4O20P4,3.613114
Ca4I2Na2O12,4.472647
Cd1Ga2Te4,1.725978
B4Fe4O16Pb4,3.484274
